time	hru_ea(1)	hru_ea(2)	hru_ea(3)	hru_ea(4)	hru_ea(5)	hru_ea(6)	hru_ea(7)	hru_ea(8)	hru_ea(9)	hru_ea(10)	hru_ea(11)	hru_ea(12)	hru_ea(13)	hru_ea(14)	hru_ea(15)	hru_ea(16)	hru_ea(17)	hru_ea(18)	hru_ea(19)	hru_ea(20)	hru_ea(21)	hru_ea(22)	hru_ea(23)	hru_ea(24)	hru_ea(25)	hru_ea(26)	hru_ea(27)	hru_ea(28)	hru_ea(29)	hru_ea(30)	hru_ea(31)	hru_ea(32)	hru_ea(33)	hru_ea(34)	hru_ea(35)	hru_ea(36)	hru_ea(37)	hru_ea(38)	hru_ea(39)	hru_ea(40)	hru_ea(41)	hru_ea(42)	hru_ea(43)	hru_ea(44)	hru_ea(45)	hru_ea(46)	hru_ea(47)	hru_ea(48)
units	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)
2022-03-02T07:00	0.1958126	0.1934975	0.1987271	0.2079151	0.2017492	0.1892413	0.2025982	0.2136612	0.2282706	0.2019438	0.2069329	0.2272813	0.17978	0.2454801	0.2489688	0.2473686	0.2425894	0.194074	0.1897408	0.1983984	0.2104679	0.2706695	0.1915513	0.2067341	0.2676975	0.2428673	0.2708855	0.2688042	0.2067199	0.2100358	0.2079294	0.2101365	0.2277445	0.1912463	0.2786878	0.1940069	0.2473686	0.1868	0.2798714	0.1762717	0.2700585	0.1850678	0.1973469	0.1873459	0.1914982	0.1931497	0.2278991	0.2121464
2022-03-02T08:00	0.1669913	0.16495	0.1695624	0.177681	0.1722335	0.1611959	0.1729814	0.182761	0.1957127	0.1724054	0.1768122	0.1948328	0.1528644	0.2109833	0.2140841	0.2126606	0.2084121	0.1654583	0.1616323	0.1692763	0.1799404	0.2333971	0.16323	0.1766365	0.2307555	0.2086574	0.2335906	0.2317382	0.1766244	0.179559	0.1776932	0.1796512	0.1952359	0.1629646	0.2405424	0.1654011	0.2126606	0.1590404	0.2416094	0.1497726	0.2328481	0.1575172	0.1683509	0.159527	0.1631848	0.164648	0.1953749	0.1814296
2022-03-02T09:00	0.1377707	0.1360315	0.1399625	0.1468941	0.1422436	0.132832	0.1428802	0.1512338	0.1623279	0.1423903	0.1461516	0.1615717	0.1257427	0.1754209	0.1780838	0.1768604	0.1732112	0.1364645	0.1332006	0.1397217	0.1488261	0.1946916	0.1345629	0.1460015	0.1924226	0.1734205	0.1948591	0.193266	0.1459915	0.1485009	0.1469042	0.1485821	0.1619111	0.1343397	0.2008441	0.1364174	0.1768604	0.1309933	0.2017729	0.1231102	0.1942153	0.1296989	0.1389346	0.1314121	0.1345257	0.135778	0.1620316	0.1501026
2022-03-02T10:00	0.1623087	0.1602981	0.1648392	0.1728408	0.1674617	0.1565911	0.1681979	0.1778502	0.1906343	0.167634	0.1719809	0.189761	0.1483887	0.2057151	0.208776	0.2073722	0.2031832	0.1607848	0.1570246	0.164545	0.1750729	0.2278757	0.1585937	0.1718164	0.2252693	0.2034148	0.2280714	0.2262399	0.1717929	0.1746912	0.1728526	0.1747746	0.1901587	0.1583312	0.2349404	0.1607405	0.2073722	0.1544718	0.2360096	0.1453409	0.2273342	0.1529706	0.1636428	0.154943	0.1585499	0.159989	0.1903	0.1765349
2022-03-02T11:00	0.1732082	0.1713303	0.1755572	0.1829834	0.1780066	0.1678805	0.1786842	0.187601	0.1993226	0.1781637	0.1821805	0.1985367	0.1601924	0.2130519	0.2158266	0.2145563	0.2107566	0.1717981	0.1682824	0.1752948	0.1850357	0.2330292	0.1697482	0.1820326	0.2306823	0.2109669	0.2331977	0.2315485	0.182008	0.184686	0.1829834	0.1847734	0.198896	0.1695051	0.2393488	0.1717513	0.2145563	0.1658945	0.2402907	0.1573307	0.2325399	0.1644919	0.1744504	0.1663378	0.1697135	0.1710502	0.1990292	0.1863899
2022-03-02T12:00	0.1745654	0.1723759	0.1773124	0.1860225	0.180178	0.1683562	0.1809738	0.1914662	0.2053678	0.1803626	0.1850807	0.2044289	0.1594472	0.2217869	0.2251248	0.223596	0.2190295	0.1729192	0.1688249	0.1770044	0.1884414	0.2459323	0.1705313	0.1849043	0.2430814	0.2192849	0.2461408	0.2441346	0.1848778	0.1880295	0.1860256	0.1881308	0.2048569	0.1702468	0.2536327	0.1728633	0.223596	0.1660509	0.2547818	0.1561469	0.2453378	0.1644235	0.1760163	0.1665666	0.1704891	0.1720492	0.205014	0.1900364
2022-03-02T13:00	0.1759116	0.1734076	0.1790613	0.1890801	0.1823497	0.1688153	0.1832659	0.1953729	0.2115383	0.1825622	0.1879961	0.2104396	0.158691	0.2307912	0.2347274	0.2329237	0.2275441	0.1740269	0.169351	0.1787072	0.1918753	0.2594008	0.1712988	0.1877907	0.2560059	0.2278472	0.2596526	0.2572608	0.1877623	0.1913994	0.1890865	0.1915151	0.2109394	0.1709728	0.2685973	0.1739619	0.2329237	0.1661905	0.2699714	0.1549583	0.2586927	0.1643389	0.1775735	0.1667786	0.1712493	0.1730339	0.2111213	0.1937178
2022-03-02T14:00	0.1772458	0.1744247	0.1808031	0.1921554	0.1845208	0.1692575	0.1855594	0.1993203	0.2178345	0.1847617	0.1909259	0.2165689	0.1579238	0.2400688	0.2446397	0.2425442	0.2363036	0.1751207	0.1698602	0.1804022	0.1953364	0.2734509	0.1720503	0.1906907	0.2694701	0.2366571	0.2737494	0.2709422	0.1906603	0.1947949	0.192165	0.1949252	0.2171436	0.1716825	0.2842644	0.1750466	0.2425442	0.1663132	0.2858824	0.1537647	0.2726204	0.1642381	0.1791211	0.1669735	0.1719933	0.1740039	0.2173515	0.1974332
2022-03-02T15:00	0.1785676	0.1754268	0.182537	0.1952472	0.1866904	0.1696822	0.1878535	0.2033074	0.2242565	0.1869602	0.1938689	0.2228168	0.1571454	0.2496236	0.2548667	0.2524619	0.245311	0.1761999	0.170352	0.1820888	0.1988236	0.2880987	0.1727851	0.1936033	0.2834882	0.2457177	0.2884476	0.2851936	0.1935709	0.1982148	0.1952603	0.1983602	0.2234696	0.1723756	0.3006559	0.1761165	0.2524619	0.1664186	0.3025376	0.1525663	0.2871366	0.1641206	0.1806584	0.167151	0.1727207	0.1749584	0.2237047	0.2011817
2022-03-02T16:00	0.1798761	0.1764131	0.1842621	0.1983546	0.1888574	0.170089	0.1901471	0.2073332	0.2308043	0.1891566	0.1968241	0.2291832	0.1563558	0.2594595	0.2654134	0.2626815	0.2545692	0.1772639	0.1708261	0.1837659	0.202336	0.3033603	0.1735029	0.1965274	0.2980743	0.2550321	0.3037633	0.3000298	0.196493	0.2016581	0.1983711	0.201819	0.2299173	0.1730513	0.317794	0.1771712	0.2626815	0.1665064	0.3199602	0.151363	0.3022569	0.1639863	0.1821846	0.1673108	0.173431	0.1758968	0.2301806	0.2049622
