TOA5	CR3000	CR3000	6126	CR3000.Std.22	CPU:EMAM_Echaurren_2022sep.CR3	39792	Echaurren_prom											
TIMESTAMP	RECORD	batt_volt_Min	short_up_Avg	short_dn_Avg	long_up_corr_Avg	long_dn_corr_Avg	WinVel_Avg	WinDir_Avg	Taire_Avg	Haire_Avg	T_Aspirado_Avg	H_Aspirado_Avg	BP_hPA_Avg	T_Sup_Avg	DetectorTC_Avg	ejex_Avg	ejey_Avg	Profundidad_Avg
TS	RN	volts	W/m^2	W/m^2	W/m^2	W/m^2	m/s	grados	c	%	c	%	hPA			grados	grados	m
		Min	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg
25/10/2022 9:00	657	12.73	4.295.245	256.707	2.093.223	3.014.318	0.956	223.8	4.612	21.47	4.052.033	2.162.628	653	-4.014.483	2.805.317	10.99	2.779	7.822
25/10/2022 10:00	658	13.76	6.978.669	3.858.104	2.159.157	3.220.144	0.319	140.5	8.8	27	861.011	2.593.748	653.4	-0.2871166	8.670.583	10.99	2.799	7.799
25/10/2022 11:00	659	13.65	8.535.107	4.505.913	2.294.416	3.305.203	0.307	174.3	11.01	25.29	1.143.075	2.341.757	653.7	0.7024333	100.254	10.97	2.808	7.799
25/10/2022 12:00	660	13.6	9.896.418	5.096.632	2.348.575	3.281.314	1.479	143.8	6.89	38.45	8.432.553	3.290.804	653.8	0.4807833	61.864	10.99	2.825	7.803
25/10/2022 13:00	661	13.64	1.067.919	5.518.234	2.332.084	3.264.941	1.811	194	4.423	42.92	5.121.759	3.897.699	653.9	0.70345	4.498.967	11.11	2.883	7.805
25/10/2022 14:00	662	13.75	NAN	5.873.089	2.392.623	3.264.582	1.468	167.2	3.452	49.2	4.474.489	4.414.771	653.6	13.792	6.760.583	11.22	2.938	7.795
25/10/2022 15:00	663	13.8	NAN	5.301.465	2.570.986	3.253.846	1.897	189.5	3.416	51.93	4.046.722	476.951	653.1	0.5789166	627.515	11.37	3.023	7.775
25/10/2022 16:00	664	13.83	3.155.391	1.764.119	2.866.028	3.171.747	2.365	182.6	0.184	68.96	0.7043686	6.411.129	652.8	-0.8103833	18.279	11.46	3.111	7.765
25/10/2022 17:00	665	13.49	9.120.306	5.941.993	2.980.619	3.073.556	2.682	109.5	-3.584	95.6	-3.533.441	9.226.083	652.6	-17.284	-3.132.583	11.5	3.103	7.783
25/10/2022 18:00	666	13.16	3.228.616	2.162.049	2.961.765	3.051.275	2.545	143.2	-4.011	96.7	-4.039.169	942.002	652.5	-2.218.467	-3.673.367	11.54	3.118	7.79
25/10/2022 19:00	667	12.94	1.933.147	1.307.341	2.927.385	3.021.645	1.591	153.6	-4.267	94.2	-4.323.966	9.198.409	652.5	-2.854.167	-4.004.016	11.53	3.087	7.791
25/10/2022 20:00	668	12.79	1.203.976	8.140.036	2.922.039	3.012.455	2.819	174.9	-4.619	94.7	-4.688.167	9.277.346	652.5	-31.265	-4.430.117	11.54	3.083	7.792
25/10/2022 21:00	669	12.72	-0.3193118	0.5317718	2.870.173	2.988.217	2.105	229.3	-4.939	92.7	-5.009.806	903.222	652.3	-367.595	-472.785	11.54	3.107	7.791
25/10/2022 22:00	670	12.68	-0.5906004	0.09894279	2.848.345	2.963.716	2.414	181.6	-5.537	97.2	-5.620.382	9.559.516	652.4	-4.225.483	-534.585	11.54	3.086	7.79
25/10/2022 23:00	671	12.65	-0.4352089	0.21026	2.844.174	2.942.311	1.422	123	-6.056	95.6	-6.183.654	9.425.583	652.8	-4.740.433	-5.856.667	11.55	3.108	7.79
26/10/2022 0:00	672	12.63	-3.117.286	1.332.757	2.277.109	2.851.648	1.506	255.1	-6.586	90.5	-6.736.944	8.759.022	653.1	-7.178.483	-64.541	11.54	3.106	7.79
26/10/2022 1:00	673	12.6	-2.733.291	2.511.254	2.130.319	2.758.341	0.913	197.4	-7.159	86.5	-7.311.499	8.337.659	653.1	-951.545	-732.815	11.56	3.095	7.789
26/10/2022 2:00	674	12.57	-0.8395901	1.512.494	2.395.208	2.774.129	0.507	204.5	-7.572	90.5	-7.756.567	8.883.337	653.3	-8.988.967	-7.667.266	11.56	3.103	7.791
26/10/2022 3:00	675	12.55	-3.618.613	2.440.518	2.033.378	270.97	0.548	236.1	-8.1	84.7	-8.325.889	8.426.374	653.1	-1.078.802	-82.394	11.56	3.103	7.788
26/10/2022 4:00	676	12.54	-3.845.221	3.956.635	1.845.304	2.630.293	1.528	212.2	-7.988	54.57	-8.422.944	5.510.228	652.8	-1.292.065	-843.425	11.57	3.114	7.787
26/10/2022 5:00	677	12.52	-3.093.393	3.177.296	1.823.391	2.595.585	1.157	255.7	-8.06	48.56	-8.424.813	4.849.318	652.9	-1.405.513	-8.339.767	11.58	3.113	7.786
26/10/2022 6:00	678	12.51	-25.874	3.595.161	181.596	2.567.658	0.893	242.5	-8.37	45.46	-8.757.709	4.552.724	652.9	-1.470.867	-877.265	11.58	3.113	7.788
26/10/2022 7:00	679	12.5	2.098.294	6.751.231	1.816.572	2.564.588	0.955	202.9	-7.97	40.1	-8.391.927	4.038.031	653.3	-1.491.603	-8.459.016	11.57	3.115	7.786
26/10/2022 8:00	680	12.53	9.630.993	3.739.591	1.829.927	2.583.911	0.749	194.6	-6.407	31.58	-6.889.914	3.203.956	653.6	-1.438.487	-703.355	11.58	3.11	7.79
26/10/2022 9:00	681	12.7	5.127.779	3.119.026	1.911.854	2.858.425	2.257	134.8	-1.952	20.33	-1.945.185	1.991.577	654	-770.835	-243.325	11.56	3.113	7.791
26/10/2022 10:00	682	13.99	731.624	4.203.889	1.987.216	3.067.098	2.082	180.8	0.481	21.18	0.6214473	198.679	654.5	-3.128.733	-0.2863333	11.56	3.132	7.777
